Oily skin phenotype across the face, 22-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, frontal facial close-up, soft even studio lighting.
Normal skin phenotype on the t-zone, 28-year-old female, Fitzpatrick type I skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, full facial close-up, neutral soft lighting.
Normal skin phenotype across the face, 23-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, full facial close-up, consistent frontal lighting.
Normal skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, full facial close-up, diffused softbox lighting.
Normal skin phenotype across the face, 45-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, full facial close-up, subtle even illumination.
Normal skin phenotype across the face, 19-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, full facial close-up, natural-looking studio lighting.
Normal skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, full facial close-up, clean clinical lighting.
Normal skin phenotype across the face, 58-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, centered portrait framing, soft even studio lighting.
Normal skin phenotype across the face, 24-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, centered portrait framing, diffused clinical lighting.
Normal skin phenotype across the face, 38-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, centered portrait framing, balanced studio lighting.
Normal skin phenotype across the face, 52-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, centered portrait framing, soft neutral lighting.
Normal skin phenotype across the face, 16-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, centered portrait framing, even frontal lighting.
Normal skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, centered portrait framing, gentle studio illumination.
Normal skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, centered portrait framing, clear clinical illumination.
Normal skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, centered portrait framing, soft controlled lighting.
Normal skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, centered portrait framing, uniform studio lighting.
Normal skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, centered portrait framing, neutral soft lighting.
Normal skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, centered portrait framing, consistent frontal lighting.
Normal skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, centered portrait framing, diffused softbox lighting.
Normal skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, centered portrait framing, subtle even illumination.
Normal skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, centered portrait framing, natural-looking studio lighting.
Normal skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, centered portrait framing, clean clinical lighting.
Normal skin phenotype across the face, 32-year-old male, Fitzpatrick type I skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, frontal skin-detail portrait, soft even studio lighting.
Normal skin phenotype across the face, 32-year-old male, Fitzpatrick type II skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, frontal skin-detail portrait, diffused clinical lighting.
Normal skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, frontal skin-detail portrait, balanced studio lighting.
Normal skin phenotype across the face, 32-year-old male, Fitzpatrick type IV skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, frontal skin-detail portrait, soft neutral lighting.
Normal skin phenotype across the face, 32-year-old male, Fitzpatrick type V skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, frontal skin-detail portrait, even frontal lighting.
Normal skin phenotype across the face, 32-year-old male, Fitzpatrick type VI skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, frontal skin-detail portrait, gentle studio illumination.
Normal skin phenotype across the face, 32-year-old male, Fitzpatrick type I skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, frontal skin-detail portrait, clear clinical illumination.
Normal skin phenotype across the face, 32-year-old male, Fitzpatrick type II skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, frontal skin-detail portrait, soft controlled lighting.
Normal skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, frontal skin-detail portrait, uniform studio lighting.
Normal skin phenotype across the face, 32-year-old male, Fitzpatrick type IV skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, frontal skin-detail portrait, neutral soft lighting.
Normal skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, frontal skin-detail portrait, consistent frontal lighting.
Normal skin phenotype on the t-zone, 32-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, frontal skin-detail portrait, diffused softbox lighting.
Normal skin phenotype on the cheeks, 32-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, frontal skin-detail portrait, subtle even illumination.
Normal skin phenotype across the forehead and cheeks, 32-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, frontal skin-detail portrait, natural-looking studio lighting.
Normal skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, frontal skin-detail portrait, clean clinical lighting.
Normal skin phenotype on the cheeks and chin, 32-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, naturalistic studio close-up, soft even studio lighting.
Normal skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, naturalistic studio close-up, diffused clinical lighting.
Normal skin phenotype on the t-zone, 32-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, naturalistic studio close-up, balanced studio lighting.
Normal skin phenotype on the cheeks, 32-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, naturalistic studio close-up, soft neutral lighting.
Normal skin phenotype across the forehead and cheeks, 32-year-old male, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, naturalistic studio close-up, even frontal lighting.
Normal skin phenotype across the face, 33-year-old male, Fitzpatrick type II skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, naturalistic studio close-up, gentle studio illumination.
Normal skin phenotype across the forehead and cheeks, 19-year-old male, Fitzpatrick type IV skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, naturalistic studio close-up, clear clinical illumination.
Normal skin phenotype on the cheeks, 22-year-old male, Fitzpatrick type V skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, naturalistic studio close-up, soft controlled lighting.
Normal skin phenotype on the t-zone, 18-year-old male, Fitzpatrick type II skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, naturalistic studio close-up, uniform studio lighting.
Normal skin phenotype across the forehead and cheeks, 32-year-old male, Fitzpatrick type II skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, naturalistic studio close-up, neutral soft lighting.
Normal skin phenotype on the cheeks, 29-year-old male, Fitzpatrick type IV skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, naturalistic studio close-up, consistent frontal lighting.
Normal skin phenotype across the face, 16-year-old male, Fitzpatrick type I skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, naturalistic studio close-up, diffused softbox lighting.
Normal skin phenotype across the face, 31-year-old male, Fitzpatrick type I skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, naturalistic studio close-up, subtle even illumination.
Normal skin phenotype across the face, 29-year-old male, Fitzpatrick type VI skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, naturalistic studio close-up, natural-looking studio lighting.
Normal skin phenotype across the face, 22-year-old male, Fitzpatrick type IV skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, naturalistic studio close-up, clean clinical lighting.
